City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Hammerfest,70.66,23.68,39.2,82,61,8.05,NO,1605398072
Paciran,-6.88,112.38,83.12,76,96,3.51,ID,1605397830
Bluff,-46.6,168.33,69.01,72,100,5.99,NZ,1605398073
San Quintín,30.48,-115.95,64.76,74,0,13.27,MX,1605398073
Comodoro Rivadavia,-45.87,-67.5,55.4,62,0,18.34,AR,1605398074
Hofn,64.25,-15.21,37.42,78,66,15.43,IS,1605398074
Carnarvon,-24.87,113.63,68.0,72,90,12.75,AU,1605398074
Sorong,-0.88,131.25,81.61,78,100,4.32,ID,1605398075
Lorengau,-2.02,147.27,85.44,75,58,13.82,PG,1605398076
Airai,-8.93,125.41,74.57,54,1,2.64,TL,1605398076
Cherskiy,68.75,161.3,-11.02,84,17,2.21,RU,1605398078
Bontang,0.13,117.5,81.64,76,95,6.38,ID,1605398078
Zverinogolovskoye,54.46,64.85,13.66,95,100,16.11,RU,1605398078
Xining,36.62,101.77,38.03,65,32,1.5,CN,1605398078
Narsaq,60.92,-46.05,17.6,67,0,14.99,GL,1605398079
Bredasdorp,-34.53,20.04,59.0,77,99,3.36,ZA,1605398079
Tamworth,52.63,-1.7,51.01,87,40,9.17,GB,1605398083
Kahului,20.89,-156.47,84.2,54,40,21.92,US,1605397961
Ponta do Sol,32.67,-17.1,71.6,88,75,5.82,PT,1605398084
Pochutla,15.74,-96.47,84.2,70,20,5.01,MX,1605398084
Coacoyul,17.81,-99.11,69.84,72,10,6.51,MX,1605398085
Hithadhoo,-0.6,73.08,82.98,77,100,21.21,MV,1605398085
Kiruna,67.86,20.23,37.4,93,100,13.87,SE,1605398085
Brae,60.4,-1.35,50.0,100,100,13.87,GB,1605398086
Limbang,4.75,115.0,77.0,100,75,5.82,MY,1605398086
Vestmannaeyjar,63.44,-20.27,40.68,71,40,11.36,IS,1605398087
Araceli,10.55,119.99,84.56,76,57,21.14,PH,1605398087
Berzasca,44.65,21.95,46.0,83,93,0.94,RO,1605398094
Gemeente Zwolle,52.51,6.09,57.99,89,100,1.01,NL,1605398094
Kaohsiung City,22.62,120.31,75.2,83,75,4.7,TW,1605398095
Thunder Bay,48.4,-89.32,41.0,56,90,8.05,CA,1605397875
Saldanha,-33.01,17.94,53.6,81,0,3.36,ZA,1605397821
Balabac,7.99,117.06,83.61,79,99,12.53,PH,1605398096
Sechura,-5.56,-80.82,65.68,75,62,14.56,PE,1605398097
Arlit,18.74,7.39,71.83,25,10,8.37,NE,1605398098
Silopi,37.25,42.47,48.2,76,0,9.17,TR,1605398098
Chara,56.91,118.26,0.72,78,33,3.4,RU,1605398098
Itaituba,-4.28,-55.98,80.62,76,96,3.09,BR,1605398099
Henties Bay,-22.12,14.28,59.0,88,1,4.52,NA,1605398099
Praia,14.92,-23.51,77.0,78,0,12.75,CV,1605397964
Ust'-Tarka,55.57,75.7,19.9,95,63,7.56,RU,1605398099
Lasem,-6.69,111.45,82.96,72,94,5.14,ID,1605398099
Arraial do Cabo,-22.97,-42.03,73.89,91,91,2.93,BR,1605398099
Champerico,14.3,-91.92,84.2,74,75,6.93,GT,1605398100
Alofi,-19.06,-169.92,82.4,69,46,12.75,NU,1605398027
Kenora,49.82,-94.43,33.8,74,75,6.93,CA,1605397873
Pilibanga,29.49,74.08,63.86,31,0,10.02,IN,1605398101
Tessalit,20.2,1.01,68.45,24,0,11.59,ML,1605398101
Itatiaia,-22.5,-44.56,69.53,89,100,2.75,BR,1605398101
Lebu,-37.62,-73.65,52.52,73,0,18.79,CL,1605398101
Port Hardy,50.7,-127.42,44.6,81,90,26.4,CA,1605398101
Mweka,-4.85,21.57,65.61,99,64,1.61,CD,1605398102
Oriximiná,-1.77,-55.87,78.73,83,95,4.68,BR,1605398102
Stornoway,58.21,-6.39,50.0,87,92,6.93,GB,1605398102
Yulara,-25.24,130.99,93.2,24,56,21.92,AU,1605398103
Thompson,55.74,-97.86,17.6,85,90,10.29,CA,1605398105
Shimanovsk,52.0,127.7,18.77,88,33,11.63,RU,1605398105
Hong Kong,22.29,114.16,71.01,77,99,10.0,HK,1605398105
Geraldton,-28.77,114.6,64.4,55,90,10.29,AU,1605397846
Sungai Raya,0.7,108.9,79.54,82,100,3.33,ID,1605398107
Mount Isa,-20.73,139.5,95.0,30,8,10.29,AU,1605398107
Pangody,65.85,74.49,-3.26,90,100,10.71,RU,1605398108
Naze,28.37,129.48,75.2,69,20,20.8,JP,1605398108
Kavieng,-2.57,150.8,85.59,70,21,15.19,PG,1605398109
Allāpalli,19.42,80.07,65.62,77,0,1.68,IN,1605398109
Khatanga,71.97,102.5,5.25,94,100,19.44,RU,1605398109
Keetmanshoop,-26.58,18.13,64.4,39,0,8.05,NA,1605398114
Kodinsk,58.69,99.18,15.12,96,91,1.1,RU,1605398115
Fremont,37.55,-121.99,61.0,51,1,3.36,US,1605398116
Salinópolis,-0.61,-47.36,81.18,80,83,10.89,BR,1605398117
Chokurdakh,70.63,147.92,-24.86,85,1,6.13,RU,1605398117
Kaitangata,-46.28,169.85,64.99,64,100,5.86,NZ,1605398127
Taltal,-25.4,-70.48,57.97,75,20,4.14,CL,1605398128
Grimstad,58.34,8.59,52.0,100,100,8.05,NO,1605398128
Kajaani,64.23,27.73,33.8,88,90,11.41,FI,1605398128
San Cristobal,7.77,-72.22,78.8,88,75,3.36,VE,1605398128
Hasaki,35.73,140.83,51.8,62,20,2.24,JP,1605398111
Loukhi,66.08,33.04,32.07,96,99,9.78,RU,1605398128
Lüderitz,-26.65,15.16,58.75,75,0,16.33,NA,1605398005
Lompoc,34.64,-120.46,62.6,67,1,14.99,US,1605398091
Uyemskiy,64.47,40.85,33.8,100,75,4.47,RU,1605398129
Codrington,-38.27,141.97,72.09,57,81,22.08,AU,1605398129
Dongsheng,39.82,109.98,41.09,69,93,5.26,CN,1605398129
Spornoye,50.84,37.29,30.2,100,75,4.47,RU,1605398130
Benjamin Constant,-4.38,-70.03,84.2,83,40,1.52,BR,1605398130
Ayagoz,47.97,80.44,24.01,91,99,4.85,KZ,1605398130
Mogadishu,2.04,45.34,78.85,82,6,9.64,SO,1605398130
Shahrud,36.42,54.98,35.83,80,4,2.21,IR,1605398131
Deputatsky,69.3,139.9,-9.27,88,70,3.13,RU,1605398131
Xingyi,24.19,102.82,44.47,70,0,1.54,CN,1605398131
Marsala,37.8,12.44,68.0,88,20,10.29,IT,1605398131
Santiago del Estero,-27.8,-64.26,73.0,69,89,4.0,AR,1605398131
Torbay,47.67,-52.73,33.01,99,90,24.16,CA,1605398132
Longyearbyen,78.22,15.64,39.2,80,40,24.16,SJ,1605398132
Kiryat Gat,31.61,34.76,64.99,100,5,5.14,IL,1605398132
Kautokeino,69.01,23.04,36.28,92,100,21.14,NO,1605398132
Te Anau,-45.42,167.72,65.52,59,100,8.14,NZ,1605398132
Asău,46.43,26.4,37.99,85,17,4.72,RO,1605398133
Paso de Carrasco,-34.86,-56.05,68.0,88,90,7.36,UY,1605398133
Casablanca,33.59,-7.62,66.2,72,0,4.7,MA,1605398133
Marquette,46.53,-87.63,39.99,63,100,10.0,US,1605398133
Provideniya,64.38,-173.3,19.63,87,60,4.9,RU,1605398133
Esperance,-33.87,121.9,57.2,82,9,20.8,AU,1605398134
Baoqing,46.33,132.21,37.56,72,0,8.01,CN,1605398135
Camacha,33.08,-16.33,69.8,94,75,11.41,PT,1605398135
Saint Paul Harbor,57.79,-152.41,37.4,51,20,8.05,US,1605397846
Murray Bridge,-35.12,139.27,88.0,29,47,5.01,AU,1605398135
Hualmay,-11.1,-77.61,63.91,84,68,6.49,PE,1605398135
Kehychivka,49.29,35.76,33.67,87,96,5.41,UA,1605398136
Chimoio,-19.12,33.48,60.8,82,0,6.93,MZ,1605398136
Poum,-20.23,164.02,78.13,79,10,4.29,NC,1605398136
Roald,62.58,6.13,51.8,53,99,12.75,NO,1605398136
Touros,-5.2,-35.46,78.8,83,20,6.93,BR,1605398136
Mandapeta,16.87,81.93,72.75,73,0,7.43,IN,1605398136
Iberia,29.95,-91.75,77.0,69,1,8.05,US,1605398137
Mountain Home,43.13,-115.69,42.8,48,90,3.36,US,1605398137
Paamiut,61.99,-49.67,22.19,81,0,27.76,GL,1605398137
Changping,40.22,116.22,46.0,93,0,4.47,CN,1605398137
La Libertad,-2.23,-80.9,71.6,83,75,9.17,EC,1605398137
Mount Gambier,-37.83,140.77,78.8,31,32,21.92,AU,1605398138
Port Alfred,-33.59,26.89,63.28,85,77,8.05,ZA,1605398138
Sulangan,11.14,123.72,82.92,78,52,11.25,PH,1605398138
Bereket,39.24,55.52,43.02,59,5,7.38,TM,1605398138
Houston,29.76,-95.36,80.6,74,75,19.46,US,1605397663
Abū Zabad,12.35,29.25,71.73,22,0,16.06,SD,1605398139
‘Āhuimanu,21.44,-157.84,84.2,61,75,12.75,US,1605398139
Mogzon,51.74,111.96,12.11,94,0,2.15,RU,1605398139
Durant,33.99,-96.37,78.8,61,40,12.75,US,1605398139
La Santisima Trinidad,-14.83,-64.9,86.0,70,61,6.93,BO,1605398112
Rtishchevo,52.26,43.79,28.8,97,100,11.25,RU,1605398140
Guerrero Negro,27.98,-114.06,66.94,71,0,14.74,MX,1605398140
Ulladulla,-35.35,150.47,73.99,60,0,6.93,AU,1605398140
Lábrea,-7.26,-64.8,82.51,63,30,0.98,BR,1605397901
Opuwo,-18.06,13.84,72.64,57,81,3.74,NA,1605398140
Sistranda,63.73,8.83,48.2,63,0,17.22,NO,1605398140
Gornopravdinsk,60.05,69.9,4.64,93,74,5.86,RU,1605398141
Stryn,61.9,6.72,42.03,64,99,7.4,NO,1605398141
Aykhal,66.0,111.5,-2.2,91,90,6.71,RU,1605398141
Rehoboth,-23.32,17.08,63.14,36,19,3.56,NA,1605398141
Kyzyl-Suu,42.34,78.01,32.63,93,100,3.53,KG,1605398141
Palatka,29.65,-81.64,73.0,91,57,1.01,US,1605398141
Isangel,-19.55,169.27,82.76,67,9,8.7,VU,1605398142
Laas,46.62,10.7,33.8,55,5,1.28,IT,1605398142
La Ronge,55.1,-105.28,17.6,78,100,5.82,CA,1605398142
San Jose,37.34,-121.89,61.0,71,40,5.39,US,1605398038
Karlskrona,56.16,15.59,39.2,100,90,3.36,SE,1605398142
Port Keats,-14.25,129.55,88.36,63,25,11.43,AU,1605398143
North Platte,41.12,-100.77,41.0,60,90,27.51,US,1605398143
Lavrentiya,65.58,-171.0,19.89,88,20,9.1,RU,1605398143
Atambua,-9.11,124.89,86.05,52,14,0.22,ID,1605398143
Mataram,-8.58,116.12,84.2,89,75,4.7,ID,1605398143
Pucallpa,-8.38,-74.55,78.8,83,75,12.75,PE,1605398144
Salalah,17.02,54.09,71.6,56,0,4.7,OM,1605398144
Krasnogvardeyskiy,57.38,62.32,10.51,92,31,8.61,RU,1605398144
Artyom,40.47,50.33,53.6,81,75,4.7,AZ,1605398144
Kapoeta,4.77,33.59,78.49,62,1,1.32,SS,1605398144
Dunedin,-45.87,170.5,66.99,64,99,7.25,NZ,1605398131
Coyhaique,-45.58,-72.07,51.8,50,20,6.93,CL,1605398145
Nanortalik,60.14,-45.24,23.41,82,0,11.83,GL,1605398145
Nikolskoye,59.7,30.79,33.01,86,75,6.71,RU,1605398145
Port Hedland,-20.32,118.57,87.8,31,0,12.75,AU,1605398145
Bethany,45.56,-122.87,46.4,93,90,18.34,US,1605398145
Ostrovnoy,68.05,39.51,34.66,88,81,17.34,RU,1605398146
Colombo,6.93,79.85,77.0,94,59,1.12,LK,1605398042
Tuatapere,-46.13,167.68,69.01,72,100,5.99,NZ,1605398146
Barrow,71.29,-156.79,21.2,79,90,17.22,US,1605398146
Kavaratti,10.57,72.64,82.62,76,100,6.29,IN,1605398055
Araouane,18.9,-3.53,76.33,18,0,9.78,ML,1605398146
Mayo,38.89,-76.51,48.2,61,1,5.73,US,1605398147
Charlestown,-32.95,151.67,84.0,67,0,5.28,AU,1605398147
Lovozero,68.0,35.01,29.68,97,60,4.45,RU,1605398147
Bac Lieu,9.29,105.72,75.52,82,99,8.03,VN,1605398147
Batemans Bay,-35.72,150.18,75.0,50,0,1.01,AU,1605397963
Chake Chake,-5.25,39.77,76.48,80,30,4.81,TZ,1605398148
Yumen,40.28,97.2,27.1,93,41,10.67,CN,1605398148
Coquimbo,-29.95,-71.34,59.0,77,20,12.75,CL,1605398137
Darhan,49.49,105.92,24.51,91,33,3.18,MN,1605398149
Bad Tölz,47.76,11.56,43.0,93,1,4.7,DE,1605398149
Samarai,-10.62,150.67,82.17,75,14,11.63,PG,1605398149
São Filipe,14.9,-24.5,80.04,65,55,7.65,CV,1605398149
Sur,22.57,59.53,76.77,69,4,11.32,OM,1605398149
Lieksa,63.32,30.02,35.62,84,100,13.71,FI,1605398149
Harper,4.38,-7.72,77.99,87,14,8.7,LR,1605398150
Kaseda-shirakame,31.42,130.32,59.0,82,20,4.7,JP,1605397992
Iqaluit,63.75,-68.51,19.4,67,75,6.93,CA,1605397963
Derazhnya,49.27,27.43,43.56,75,100,5.95,UA,1605398150
Hamilton,39.18,-84.53,54.0,54,75,7.23,US,1605398150
Vao,-22.67,167.48,74.89,83,8,7.02,NC,1605398151
Riviere-au-Renard,49.0,-64.4,32.0,90,90,2.24,CA,1605398151
Castro,-24.79,-50.01,66.09,84,53,2.68,BR,1605398151
Pisco,-13.7,-76.22,66.2,82,20,18.34,PE,1605398151
Zaraza,9.35,-65.32,75.88,93,68,4.12,VE,1605398151
Leningradskiy,69.38,178.42,6.21,81,98,4.09,RU,1605398151
Souillac,-20.52,57.52,73.4,88,75,10.29,MU,1605398152
Port Blair,11.67,92.75,80.53,78,45,11.92,IN,1605398152
Grosse Pointe Farms,42.41,-82.89,42.01,65,75,9.17,US,1605398152
Boa Vista,2.82,-60.67,89.6,55,20,4.7,BR,1605398106
Adrar,20.5,-10.07,77.83,17,100,10.38,MR,1605398153
Mondlo,-27.98,30.72,65.77,59,18,2.28,ZA,1605398153
Mehamn,71.04,27.85,39.2,80,0,3.36,NO,1605398153
Severo-Kuril'sk,50.68,156.12,39.63,91,78,17.49,RU,1605398153
Tuscaloosa,33.21,-87.57,73.4,40,1,5.82,US,1605397890
Makkah al Mukarramah,21.43,39.83,75.25,73,0,2.53,SA,1605398153
Ikorodu,6.62,3.5,80.02,83,0,7.74,NG,1605398154
Ukiah,39.15,-123.21,60.8,41,40,4.29,US,1605397942
East London,-33.02,27.91,65.32,75,83,5.28,ZA,1605398154
Carballo,43.21,-8.69,62.01,85,89,5.99,ES,1605398154
Colares,38.8,-9.45,64.0,100,93,11.99,PT,1605398155
Bonfim,3.08,-59.95,79.18,80,74,2.13,BR,1605398155
Oktyabr'skiy,54.48,53.47,10.62,95,0,5.12,RU,1605398155
Gävle,60.67,17.14,42.01,95,90,1.01,SE,1605398155
Ulundi,-28.34,31.42,65.25,82,1,3.76,ZA,1605398155
Severodvinsk,64.56,39.83,33.8,100,75,4.47,RU,1605398073
Fukuechō,32.69,128.84,64.4,77,40,8.05,JP,1605398156
Torbat-e Jām,35.24,60.62,34.72,78,0,0.69,IR,1605398156
Saint-Philippe,-21.36,55.77,71.6,73,90,8.05,RE,1605398156
Huambo,-12.78,15.74,60.35,96,100,2.93,AO,1605398156
Maragogi,-9.01,-35.22,77.86,83,2,11.34,BR,1605398157
Singapore,1.29,103.85,82.4,88,75,4.7,SG,1605398103
Chuguyevka,44.17,133.86,41.04,78,100,5.28,RU,1605398157
Taihe,30.87,105.38,59.92,60,0,3.85,CN,1605398157
George,-33.96,22.46,57.2,100,99,5.82,ZA,1605398157
Fortuna,40.6,-124.16,55.99,62,90,12.75,US,1605398157
Rosarito,32.33,-117.03,68.0,68,5,9.17,MX,1605398158
Nome,64.5,-165.41,21.2,67,1,4.7,US,1605398158
Naryan-Mar,67.67,53.09,27.64,98,97,13.09,RU,1605398158
Manthani,18.65,79.67,68.65,78,0,0.45,IN,1605398158
Eureka,40.8,-124.16,57.0,70,100,3.0,US,1605398159
La Sarre,48.8,-79.2,29.84,93,1,7.92,CA,1605398101
Mabaruma,8.2,-59.78,77.83,88,36,4.74,GY,1605398159
Kultayevo,57.89,55.94,1.4,84,0,4.47,RU,1605398159
Galle,6.04,80.22,77.32,88,45,4.74,LK,1605398159
Burnie,-41.07,145.92,55.99,74,88,4.0,AU,1605398159
Caldas da Rainha,39.4,-9.14,64.99,91,99,8.01,PT,1605398158
Tonneins,44.39,0.31,60.01,93,0,8.05,FR,1605398160
Tangier,35.78,-5.81,62.6,88,0,4.7,MA,1605397905
Ati,13.22,18.34,78.69,18,0,17.49,TD,1605398160
Charters Towers,-20.1,146.27,89.01,40,3,9.75,AU,1605398160
Enterprise,36.03,-115.24,66.99,17,20,6.93,US,1605398161
Uyuni,-20.46,-66.83,56.62,23,0,15.73,BO,1605398161
Ternate,0.8,127.4,83.16,74,46,3.27,ID,1605398030
Vostok,46.49,135.88,29.08,91,26,4.7,RU,1605398161
Tegul'det,57.31,88.17,18.03,97,90,3.02,RU,1605398161
Nelson Bay,-32.72,152.15,80.01,61,0,3.36,AU,1605398161
Pacific Grove,36.62,-121.92,59.0,76,20,8.05,US,1605398007
Havøysund,71.0,24.66,39.2,82,68,8.05,NO,1605398162
Fairbanks,64.84,-147.72,15.8,85,75,2.17,US,1605398162
Vryburg,-26.96,24.73,73.74,37,87,4.25,ZA,1605398167
Chicomuselo,15.77,-92.27,71.91,85,1,1.45,MX,1605398167
Hackettstown,40.85,-74.83,41.0,64,20,4.36,US,1605398168
Bogovarovo,58.98,47.02,21.63,96,100,5.19,RU,1605398168
Tura,25.52,90.22,64.63,87,0,3.22,IN,1605398168
São Félix do Xingu,-6.64,-51.99,74.84,88,45,3.06,BR,1605398168
Chicama,-7.84,-79.15,63.73,79,17,4.56,PE,1605398168
Polunochnoye,60.87,60.42,8.82,90,0,1.81,RU,1605398169
Brookings,44.31,-96.8,34.0,86,1,4.7,US,1605398029
College Place,46.05,-118.39,50.0,61,1,4.7,US,1605397987
Santa Marta,11.24,-74.2,80.01,79,100,1.01,CO,1605398169
Hirado,33.36,129.55,62.01,82,40,8.05,JP,1605398170
Vanimo,-2.67,141.3,85.57,66,87,5.68,PG,1605398170
Halifax,44.65,-63.57,39.2,86,68,8.05,CA,1605398153
Kutum,14.2,24.67,61.63,30,0,15.93,SD,1605398170
Cervo,43.67,-7.41,64.0,80,100,4.0,ES,1605398170
Atoyac,20.02,-103.53,80.6,26,20,6.93,MX,1605398171
Kafue,-15.77,28.18,71.6,64,0,3.36,ZM,1605398171
Banjarmasin,-3.32,114.59,75.2,100,20,5.82,ID,1605398171
Vyshneve,50.39,30.37,41.0,93,75,4.47,UA,1605398171
Villarrobledo,39.27,-2.6,54.0,98,87,5.01,ES,1605398171
Makakilo City,21.35,-158.09,84.2,58,75,9.17,US,1605398171
Verkhoyansk,67.54,133.38,-15.5,83,84,1.12,RU,1605398172
Taoudenni,22.68,-3.98,74.62,20,45,14.56,ML,1605398172
Rundu,-17.93,19.77,67.86,85,87,4.32,NA,1605398172
Richards Bay,-28.78,32.04,69.24,81,0,6.91,ZA,1605398172
Palmer,42.16,-72.33,41.0,52,20,8.05,US,1605398104
Husavik,66.04,-17.34,32.0,97,90,5.82,IS,1605398173
Lincoln,40.8,-96.67,54.0,50,75,3.36,US,1605397893
La Estancia,20.42,-100.07,80.6,19,20,7.99,MX,1605398173
Grafton,42.21,-71.69,39.0,59,1,10.29,US,1605398173
Seydi,39.48,62.91,29.93,88,0,4.18,TM,1605398173
Talcahuano,-36.72,-73.12,59.0,62,0,13.87,CL,1605398173
Sarangani,5.4,125.46,83.7,76,100,16.78,PH,1605398174
Mersing,2.43,103.84,77.0,94,96,2.24,MY,1605398174
Tomohon,1.33,124.84,82.4,83,40,3.36,ID,1605398174
Río Gallegos,-51.62,-69.22,53.6,40,0,18.34,AR,1605398175
Vila Velha,-20.33,-40.29,77.0,94,0,9.17,BR,1605398175
Shingū,33.73,135.98,62.6,63,20,8.05,JP,1605398175
Mukhen,48.1,136.1,34.09,83,0,9.28,RU,1605398175
Big Spring,32.25,-101.48,77.0,17,90,16.11,US,1605398175
Karasjok,69.47,25.51,39.2,86,100,53.02,NO,1605398176
Pasinler,39.98,41.68,24.8,85,0,5.82,TR,1605398176
Kommunar,59.62,30.39,33.01,86,75,6.71,RU,1605398176
Takoradze,4.88,-1.76,79.0,85,46,5.97,GH,1605398176
Biak,-0.91,122.88,82.76,70,95,2.68,ID,1605398177
Hirara,24.8,125.28,75.2,83,75,9.17,JP,1605398178
Nidzica,53.36,20.43,44.6,93,90,1.12,PL,1605398178
Vellmar,51.36,9.48,52.0,93,78,4.7,DE,1605398178
Nishifukuma,33.77,130.47,57.99,58,40,3.36,JP,1605397954
Solnechnyy,50.72,136.63,28.58,91,100,2.06,RU,1605398179
Katsuura,35.13,140.3,57.99,58,20,4.7,JP,1605398179
Constantine,36.37,6.61,57.2,54,0,2.24,DZ,1605397983
Lichinga,-13.31,35.24,66.2,52,0,8.05,MZ,1605398179
Mil'kovo,54.72,158.62,26.67,97,100,3.58,RU,1605398179
